,LastRentalStart,BIkeID
0,2020-09-16 10:20:24,48
1,2020-09-18 12:43:04,74
2,2020-09-18 22:37:39,121
3,2020-09-19 18:46:36,83
4,2020-09-21 12:46:59,56
5,2020-09-21 17:08:21,41
6,2020-09-21 18:30:02,27
7,2020-09-21 18:41:43,57
8,2020-09-21 19:22:27,22
9,2020-09-21 19:27:46,87
10,2020-09-21 19:28:02,86
11,2020-09-21 19:49:17,88
12,2020-09-21 19:49:22,118
13,2020-09-21 19:49:26,70
14,2020-09-21 19:49:36,39
15,2020-09-22 06:01:22,15
16,2020-09-22 07:48:40,9
17,2020-09-22 14:01:54,67
18,2020-09-22 14:04:09,25
19,2020-09-22 16:58:07,33
20,2020-09-22 17:03:10,108
21,2020-09-22 19:06:00,51
22,2020-09-22 20:41:36,80
23,2020-09-22 20:59:04,19
24,2020-09-22 23:29:23,62
25,2020-09-23 06:46:18,17
26,2020-09-23 08:02:09,78
27,2020-09-23 09:57:11,89
28,2020-09-23 10:17:17,8
29,2020-09-23 10:39:21,37
30,2020-09-23 10:59:24,32
31,2020-09-23 11:12:58,43
32,2020-09-23 11:38:27,101
33,2020-09-23 12:05:14,65
34,2020-09-23 12:32:28,112
35,2020-09-23 12:43:24,71
36,2020-09-23 12:43:29,104
37,2020-09-23 12:43:47,90
38,2020-09-23 12:47:33,38
39,2020-09-23 12:53:55,42
40,2020-09-23 13:23:18,100
41,2020-09-23 13:31:57,30
42,2020-09-23 14:12:23,111
43,2020-09-23 14:13:56,53
44,2020-09-23 14:37:07,59
45,2020-09-23 14:51:43,35
46,2020-09-23 14:56:00,79
47,2020-09-23 15:01:04,47
48,2020-09-23 15:02:56,16
49,2020-09-23 15:10:27,72
50,2020-09-23 15:18:16,49
51,2020-09-23 15:18:31,73
52,2020-09-23 15:18:37,76
53,2020-09-23 15:30:58,81
54,2020-09-23 15:34:58,5
55,2020-09-23 15:46:39,120
56,2020-09-23 15:47:06,64
57,2020-09-23 15:47:16,14
58,2020-09-23 15:52:05,61
59,2020-09-23 15:57:10,21
60,2020-09-23 16:04:33,91
61,2020-09-23 16:05:03,63
62,2020-09-23 16:11:33,20
63,2020-09-23 16:13:09,66
64,2020-09-23 16:29:23,103
65,2020-09-23 16:38:27,28
66,2020-09-23 17:08:29,107
67,2020-09-23 17:11:43,105
68,2020-09-23 17:12:40,54
69,2020-09-23 17:18:56,55
70,2020-09-23 17:20:16,26
71,2020-09-23 17:21:36,124
72,2020-09-23 17:35:02,75
73,2020-09-23 17:35:42,6
74,2020-09-23 17:41:08,68
75,2020-09-23 17:43:14,12
76,2020-09-23 17:43:47,44
77,2020-09-23 17:52:08,11
78,2020-09-23 17:54:19,98
79,2020-09-23 17:55:32,93
80,2020-09-23 18:00:50,33
81,2020-09-23 18:03:48,40
82,2020-09-23 18:05:19,5
83,2020-09-23 18:05:50,43
84,2020-09-23 18:12:18,62
85,2020-09-23 18:16:58,120
86,2020-09-23 18:21:13,55
87,2020-09-23 18:33:27,89
88,2020-09-23 18:35:08,72
89,2020-09-23 18:41:28,63
90,2020-09-23 18:42:47,16
91,2020-09-23 18:46:23,47
92,2020-09-23 18:46:38,88
93,2020-09-23 19:09:38,44
94,2020-09-23 19:14:44,49
95,2020-09-23 19:15:02,121
96,2020-09-23 19:23:06,20
97,2020-09-23 19:23:12,66
98,2020-09-23 19:24:35,37
99,2020-09-23 19:27:13,73
100,2020-09-23 19:30:52,62
101,2020-09-23 19:48:49,35
102,2020-09-23 20:02:07,30
103,2020-09-23 20:06:11,6
104,2020-09-23 20:12:08,53
105,2020-09-23 20:18:20,28
106,2020-09-23 20:27:01,37
107,2020-09-23 20:32:38,30
108,2020-09-23 20:37:20,93
109,2020-09-23 20:42:47,26
110,2020-09-23 20:50:39,107
111,2020-09-23 21:01:19,68
112,2020-09-23 21:24:11,81
113,2020-09-23 21:25:16,12
114,2020-09-23 21:26:49,41
115,2020-09-23 21:26:49,42
116,2020-09-23 21:48:56,89
117,2020-09-23 22:13:09,68
118,2020-09-23 22:51:11,75
119,2020-09-23 23:53:40,12
120,2020-09-24 00:45:54,101
121,2020-09-24 00:58:45,11
122,2020-09-24 06:59:26,41
123,2020-09-24 06:59:36,42
124,2020-09-24 07:32:12,30
125,2020-09-24 07:45:25,6
126,2020-09-24 07:46:51,37
127,2020-09-24 07:50:38,120
128,2020-09-24 08:16:33,42
129,2020-09-24 08:16:44,41
130,2020-09-24 08:24:11,71
131,2020-09-24 08:35:13,47
132,2020-09-24 08:39:54,72
133,2020-09-24 08:47:28,26
134,2020-09-24 08:51:42,115
135,2020-09-24 09:17:43,30
136,2020-09-24 09:37:46,74
137,2020-09-24 09:40:19,115
138,2020-09-24 09:40:26,112
139,2020-09-24 09:40:32,65
140,2020-09-24 09:40:39,8
141,2020-09-24 10:34:41,22
142,2020-09-24 10:35:50,72
143,2020-09-24 11:11:23,11
144,2020-09-24 11:14:04,103
145,2020-09-24 12:21:23,75
146,2020-09-24 12:34:53,115
147,2020-09-24 12:37:36,104
148,2020-09-24 12:49:38,15
149,2020-09-24 12:54:56,116
150,2020-09-24 14:13:56,116
151,2020-09-24 15:13:43,112
152,2020-09-24 15:38:12,14
153,2020-09-24 15:41:50,5
154,2020-09-24 15:46:08,68
155,2020-09-24 16:05:54,62
156,2020-09-24 16:24:30,33
157,2020-09-24 16:36:48,75
158,2020-09-24 17:00:51,12
159,2020-09-24 17:18:53,75
160,2020-09-24 17:21:29,53
161,2020-09-24 17:25:35,112
162,2020-09-24 17:44:48,26
163,2020-09-24 17:45:20,108
164,2020-09-24 17:56:58,32
165,2020-09-24 18:04:08,75
166,2020-09-24 18:13:35,5
167,2020-09-24 18:14:58,47
168,2020-09-24 19:02:08,91
169,2020-09-24 19:02:22,71
170,2020-09-24 19:06:53,61
171,2020-09-24 19:19:13,35
172,2020-09-24 20:02:05,104
173,2020-09-24 21:33:54,105
174,2020-09-24 22:46:21,98
175,2020-09-25 00:01:16,6
176,2020-09-25 00:01:40,100
177,2020-09-25 05:14:22,100
178,2020-09-25 06:41:41,91
179,2020-09-25 07:03:53,11
180,2020-09-25 07:25:34,8
181,2020-09-25 07:33:43,62
182,2020-09-25 07:44:14,115
183,2020-09-25 07:53:30,91
184,2020-09-25 07:56:15,104
185,2020-09-25 07:56:37,71
186,2020-09-25 08:18:45,63
187,2020-09-25 08:23:46,16
188,2020-09-25 08:25:21,5
189,2020-09-25 08:31:20,40
190,2020-09-25 08:32:23,55
191,2020-09-25 08:33:30,42
192,2020-09-25 08:37:32,12
193,2020-09-25 08:46:00,108
194,2020-09-25 09:12:32,67
195,2020-09-25 09:21:48,25
196,2020-09-25 09:22:02,78
197,2020-09-25 09:26:31,98
198,2020-09-25 09:30:55,75
199,2020-09-25 09:40:32,42
200,2020-09-25 09:45:38,107
201,2020-09-25 09:54:16,5
202,2020-09-25 09:56:34,35
203,2020-09-25 10:05:18,40
204,2020-09-25 10:09:06,12
205,2020-09-25 10:09:19,16
206,2020-09-25 10:13:36,68
207,2020-09-25 10:21:58,66
208,2020-09-25 10:29:15,112
209,2020-09-25 10:32:21,62
210,2020-09-25 10:34:30,6
211,2020-09-25 10:49:21,76
212,2020-09-25 10:50:47,108
213,2020-09-25 10:55:09,111
214,2020-09-25 11:04:17,34
215,2020-09-25 11:15:15,71
216,2020-09-25 11:19:33,57
217,2020-09-25 11:26:15,101
218,2020-09-25 11:35:53,15
219,2020-09-25 11:36:04,17
220,2020-09-25 11:42:56,21
221,2020-09-25 11:46:14,120
222,2020-09-25 11:50:08,72
223,2020-09-25 11:53:57,5
224,2020-09-25 11:56:32,37
225,2020-09-25 11:58:03,38
226,2020-09-25 12:17:26,74
227,2020-09-25 12:32:50,51
228,2020-09-25 12:48:23,90
229,2020-09-25 12:48:37,74
230,2020-09-25 12:49:11,121
231,2020-09-25 12:54:44,66
232,2020-09-25 12:56:40,27
233,2020-09-25 12:56:44,20
234,2020-09-25 12:57:23,89
235,2020-09-25 12:59:24,21
236,2020-09-25 13:11:17,74
237,2020-09-25 13:12:12,107
238,2020-09-25 13:19:53,38
239,2020-09-25 13:29:37,54
240,2020-09-25 13:36:55,61
241,2020-09-25 14:19:40,107
242,2020-09-25 14:21:53,34
243,2020-09-25 14:28:37,9
244,2020-09-25 14:38:48,57
245,2020-09-25 14:46:00,11
246,2020-09-25 14:46:14,12
247,2020-09-25 14:49:32,63
248,2020-09-25 14:50:02,61
249,2020-09-25 14:52:37,62
250,2020-09-25 14:54:36,22
251,2020-09-25 14:58:25,70
252,2020-09-25 15:07:56,27
253,2020-09-25 15:13:01,5
254,2020-09-25 15:14:17,54
255,2020-09-25 15:21:12,48
256,2020-09-25 15:38:18,65
257,2020-09-25 15:40:31,47
258,2020-09-25 15:42:57,27
259,2020-09-25 15:43:02,89
260,2020-09-25 16:03:22,47
261,2020-09-25 16:03:25,63
262,2020-09-25 16:14:46,6
263,2020-09-25 16:18:57,43
264,2020-09-25 16:22:43,104
265,2020-09-25 16:22:52,22
266,2020-09-25 16:28:07,115
267,2020-09-25 16:32:52,19
268,2020-09-25 16:37:56,107
269,2020-09-25 16:40:51,54
270,2020-09-25 16:48:32,14
271,2020-09-25 16:51:11,8
272,2020-09-25 16:55:41,78
273,2020-09-25 17:10:27,30
274,2020-09-25 17:14:07,67
275,2020-09-25 17:20:46,33
276,2020-09-25 17:28:36,79
277,2020-09-25 17:32:23,16
278,2020-09-25 17:36:59,108
279,2020-09-25 17:43:00,6
280,2020-09-25 17:43:02,63
281,2020-09-25 17:43:28,104
282,2020-09-25 17:51:45,124
283,2020-09-25 17:56:19,120
284,2020-09-25 18:00:38,11
285,2020-09-25 18:02:00,67
286,2020-09-25 18:10:06,76
287,2020-09-25 18:12:29,49
288,2020-09-25 18:15:10,19
289,2020-09-25 18:19:07,17
290,2020-09-25 18:27:22,112
291,2020-09-25 18:28:47,28
292,2020-09-25 18:34:24,20
293,2020-09-25 18:34:56,91
294,2020-09-25 18:41:10,101
295,2020-09-25 18:43:13,6
296,2020-09-25 18:52:36,57
297,2020-09-25 18:53:33,79
298,2020-09-25 18:55:34,8
299,2020-09-25 18:57:57,55
300,2020-09-25 18:58:59,108
301,2020-09-25 18:59:55,66
302,2020-09-25 19:05:35,112
303,2020-09-25 19:06:36,86
304,2020-09-25 19:07:27,28
305,2020-09-25 19:10:52,47
306,2020-09-25 19:11:08,111
307,2020-09-25 19:17:01,91
308,2020-09-25 19:17:52,67
309,2020-09-25 19:18:01,9
310,2020-09-25 19:35:12,11
311,2020-09-25 19:42:49,22
312,2020-09-25 20:00:59,65
313,2020-09-25 20:05:56,104
314,2020-09-25 20:21:25,124
315,2020-09-25 20:22:35,115
316,2020-09-25 20:23:34,66
317,2020-09-25 20:23:35,108
318,2020-09-25 20:26:44,30
319,2020-09-25 20:41:43,33
320,2020-09-25 20:41:58,38
321,2020-09-25 20:42:36,64
322,2020-09-25 20:50:43,8
323,2020-09-25 21:20:50,107
324,2020-09-25 21:22:20,26
325,2020-09-25 21:29:16,27
326,2020-09-25 21:42:15,101
327,2020-09-25 21:44:21,20
328,2020-09-25 22:06:08,75
329,2020-09-25 22:39:15,118
330,2020-09-25 23:16:18,66
331,2020-09-25 23:30:50,26
332,2020-09-25 23:31:15,107
333,2020-09-26 02:21:23,72
334,2020-09-26 07:35:38,72
335,2020-09-26 08:17:40,108
336,2020-09-26 08:17:56,49
337,2020-09-26 08:18:03,42
338,2020-09-26 08:51:48,70
339,2020-09-26 09:20:38,42
340,2020-09-26 09:21:02,49
341,2020-09-26 09:36:16,8
342,2020-09-26 10:09:22,108
343,2020-09-26 10:17:25,120
344,2020-09-26 10:20:46,75
345,2020-09-26 10:25:32,107
346,2020-09-26 10:25:33,101
347,2020-09-26 10:26:52,39
348,2020-09-26 10:34:21,67
349,2020-09-26 10:34:24,108
350,2020-09-26 10:36:30,104
351,2020-09-26 10:53:30,17
352,2020-09-26 10:55:58,98
353,2020-09-26 11:23:50,54
354,2020-09-26 11:29:56,78
355,2020-09-26 11:31:49,47
356,2020-09-26 11:53:31,14
357,2020-09-26 11:54:20,76
